,Unnamed: 0,hostname,status,pl_index,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,tc,tc_med,tc_minus,tc_plus,w,w_med,w_minus,w_plus,k,k_med,k_minus,k_plus,e,e_med,e_minus,e_plus,e_mode,e_68,insol,insol_med,insols_minus,insols_plus,teq,teq_med,teq_minus,teq_plus,post_path
104,195,4203,K,2.0,2.501198519,2.684077663,2.44154295,3.67277561,6.97230277,7.7780701,6.999575442,13.15403736,6305.844273,7424.745694,6359.957042,16374.55521,2453839.627,2453775.322,2453282.652,2453903.032,-1.193311165,0.5519873975999999,-1.185885371,1.159237825,25.42200871,26.13049223,24.67828326,30.54838133,0.1142070326,0.1901637344,0.1008753396,0.4809389418,0.125,0.3533705701,0.04143556886,0.03276368256,0.01162689433,0.04154055684,1.433561027,1.5202371280000002,0.01162689433,0.04154055684,/data/user/lrosenth/legacy/final_run/4203/4203_pchains.csv
112,213,50499,K,1.0,1.304680658,1.346304155,1.259686352,1.4297739040000002,3.846660094,3.846433815,3.807365251,3.88563454,2461.595756,2461.706419,2445.814434,2476.979854,2455026.878,2455004.796,2454928.549,2455079.076,-1.670313256,1.360247947,-1.4870498019999998,1.509434762,18.17763029,18.61273066,17.60326747,19.60095314,0.3688939987,0.3479279496,0.3030421605,0.3943147814,0.345,0.3692506221,0.1590156885,0.1589008103,0.14572227599999998,0.17305750350000002,1.0242347790000002,1.024419848,0.14572227599999998,0.17305750350000002,/data/user/lrosenth/legacy/final_run/50499/50499_pchains.csv
113,214,50499,K,2.0,3.134572711,3.175214998,2.714043595,3.804324802,9.745467002,10.07149967,9.226095801,12.04833811,9926.473771,10419.76041,9155.077133,13640.61866,2452794.464,2452710.186,2452455.559,2452844.214,1.909844226,-0.9616029238,-1.315603089,-0.2930519216,26.28120249,26.13978289,22.8798724,29.99224119,0.2415749845,0.2412150064,0.1660442825,0.3303945323,0.24,0.2801586172,0.02477435106,0.02294570191,0.015937048540000002,0.02805405953,1.630267761,1.661820742,0.015937048540000002,0.02805405953,/data/user/lrosenth/legacy/final_run/50499/50499_pchains.csv
116,222,66428,K,1.0,3.179828887,3.191998852,3.083945182,3.299029853,3.450976555,3.454615783,3.404747669,3.503216802,2284.535766,2288.860809,2282.079506,2295.023024,2456565.329,2456561.96,2456548.995,2456574.691,-3.050226424,0.09571246486,0.05037901381,0.1496070602,52.42201623,52.48200208,51.37761945,53.55533003,0.4237427219,0.4180283608,0.403880476,0.4325915831,0.415,0.4250829528,0.1047560854,0.1045820989,0.09590911449,0.11388363,1.136880184,1.137352728,0.09590911449,0.11388363,/data/user/lrosenth/legacy/final_run/66428/66428_pchains.csv
117,223,66428,C,2.0,3.812772337,27.18326702,9.770447377,48.86530494,10.05995333,23.00612233,15.43094945,41.60534199,11370.48258,39488.90176,21580.42347,95482.84667,2452849.744,2445901.562,2441396.117,2450474.335,-1.253163882,0.5404329193999999,-0.8977889156000001,1.185686589,33.6387701,152.4110375,67.06213189,273.67324289999993,0.1315767802,0.324164038,0.16742093619999998,0.5566255133,0.375,0.4049891709,0.01232739598,0.002365469752,0.0007118294563,0.0052326054,1.941072137,2.932784568,0.0007118294563,0.0052326054,/data/user/lrosenth/legacy/final_run/66428/66428_pchains.csv
118,226,68988,K,1.0,1.913061374,1.914119629,1.860412144,1.967294396,0.07020102527000001,0.07019628091,0.06921126585,0.07116157853999999,6.276418456,6.276418734,6.276410898,6.276426934,2451549.717,2451549.717,2451549.711,2451549.722,0.7065207781999999,0.70527817,0.6870542179000001,0.7239812309999999,192.0678641,192.2000557,191.5731062,192.8140971,0.1578742152,0.1580855062,0.1549528329,0.16079099300000002,0.155,0.159339686,343.9643468000001,344.1994127,314.8906078,375.694943,0.1501865894,0.1501609409,314.8906078,375.694943,/data/user/lrosenth/legacy/final_run/68988/68988_pchains.csv
119,227,68988,C,2.0,15.04870161,14.96509755,13.43991405,17.79891706,13.42564964,13.15069943,11.16761959,18.42548302,16599.678340000002,16091.13366,12593.60553,26696.59489,2451607.957,2451659.424,2451479.475,2451774.277,3.041858431,-0.1304062514,-0.1729607841,-0.09358711075,121.3764301,121.4144098,114.1414197,134.647965,0.4582568726,0.4531382666,0.3723180707,0.5876063089,0.4,0.517328991,0.009404370266,0.009749949696,0.004989125485,0.01366507366,2.076954977,2.058301158,0.004989125485,0.01366507366,/data/user/lrosenth/legacy/final_run/68988/68988_pchains.csv
124,235,74156,K,1.0,7.648035693,7.648576085,7.379604086,7.913070596,3.726733342,3.726336045,3.66065903,3.789564961,2449.012954,2448.618591,2445.276976,2451.982217,2457110.614,2457109.674,2457100.793,2457118.72,-1.528529592,-1.526835788,-1.543513819,-1.509870494,112.9711091,112.97791979999998,112.2739602,113.6877555,0.3694279375,0.3690832669,0.3636247963000001,0.3745812171,0.365,0.3715678003,0.1849633118,0.1850602713,0.1703886006,0.2006402799,0.9862524928,0.9861232845,0.1703886006,0.2006402799,/data/user/lrosenth/legacy/final_run/74156/74156_pchains.csv
125,236,74156,K,2.0,1.744783341,1.745257363,1.683994837,1.806114523,0.28442646850000003,0.2844318894,0.2794154732,0.2892277191,51.63612191,51.63603157,51.63531031,51.63669197,2455231.4680000003,2455231.464,2455231.416,2455231.511,3.020972863,-0.120861901,-0.1311723598,-0.1105646226,114.6190741,114.5705478,113.6966404,115.4724378,0.654176436,0.6535584450999999,0.6497772526,0.6571690096,0.65,0.6552661756,31.75427582,31.76492248,29.24179141,34.43846027,0.27246389390000003,0.2724410606,29.24179141,34.43846027,/data/user/lrosenth/legacy/final_run/74156/74156_pchains.csv
126,237,75732,K,1.0,0.8414381459999999,0.841336952,0.8153572225,0.8673601906,0.1161853545,0.1161875994,0.1143932964,0.117953961,14.65171088,14.651709900000002,14.65165744,14.65176334,2455803.301,2455803.293,2455803.279,2455803.307,2.1527963530000003,-0.6158987428,-1.230829982,1.093433475,71.09464983,71.07794245,70.86777647,71.30816659,0.006495216461,0.004762926197,0.001681952532,0.008350758018,0.0,0.006537909378,49.4389506,49.4374589,45.6067293,53.59390187,0.2439170738,0.2439189137,45.6067293,53.59390187,/data/user/lrosenth/legacy/final_run/75732/75732_pchains.csv
